2024-01-08 10:29:44.345 [error] Error: EEXIST: file already exists, open '/home/user/.vscode/data/User/workspaceStorage/-59da3b3/vscode.lock'
2024-01-08 10:29:44.959 [error] No bundle location found for extension vscode.emmet
2024-01-08 10:29:44.979 [error] No bundle location found for extension vscode.extension-editing
2024-01-08 10:29:44.993 [error] No bundle location found for extension vscode.json-language-features
2024-01-08 10:29:44.993 [error] No bundle location found for extension vscode.npm
2024-01-08 10:29:45.980 [error] No bundle location found for extension SAPSE.sap-ux-application-modeler-extension
2024-01-08 10:29:47.719 [error] No bundle location found for extension SAP.vscode-watt-framework-extension
2024-01-08 10:29:47.719 [error] No bundle location found for extension vscode.git-base
2024-01-08 10:29:47.719 [error] No bundle location found for extension SAPOSS.vscode-ui5-language-assistant
2024-01-08 10:29:47.719 [error] No bundle location found for extension SAPSE.sap-ux-help-extension
2024-01-08 10:29:47.719 [error] No bundle location found for extension SAPOSS.app-studio-toolkit
2024-01-08 10:29:47.719 [error] No bundle location found for extension SAPSE.fs-usage-popup-vscode-extensions
2024-01-08 10:29:47.719 [error] No bundle location found for extension eamodio.gitlens
2024-01-08 10:29:51.370 [error] No bundle location found for extension SAP.vscode-wing-run-config
2024-01-08 10:29:51.420 [error] No bundle location found for extension SAPOSS.app-studio-toolkit-themes
2024-01-08 10:29:51.422 [error] No bundle location found for extension SAPSE.sap-ux-service-modeler-extension
2024-01-08 10:29:51.422 [error] No bundle location found for extension SAPOSS.code-snippet
2024-01-08 10:29:52.514 [error] No bundle location found for extension SAP.vscode-bas-extension
2024-01-08 10:29:52.672 [error] No bundle location found for extension SAP.vscode-wing-gerrit
2024-01-08 10:29:52.672 [error] No bundle location found for extension SAPOSS.vscode-deps-upgrade-tool
2024-01-08 10:29:52.672 [error] No bundle location found for extension SAPSE.vscode-tasks-explorer-tasks-panel
2024-01-08 10:29:52.672 [error] No bundle location found for extension SAPSE.vscode-wing-expose-router-ports
2024-01-08 10:29:52.672 [error] No bundle location found for extension SAPSE.npm-task-contrib
2024-01-08 10:29:52.672 [error] No bundle location found for extension SAPOSS.vscode-dependencies-validation
2024-01-08 10:29:52.672 [error] No bundle location found for extension SAP.vscode-wing-cf-tools
2024-01-08 10:29:55.123 [error] No bundle location found for extension SAPSE.vscode-wing-storyboard
2024-01-08 10:29:55.123 [error] No bundle location found for extension SAPOS.yeoman-ui
2024-01-08 10:29:55.123 [error] No bundle location found for extension SAP.sap-bas-vscode-w5g
2024-01-08 10:29:55.123 [error] No bundle location found for extension SAP.mta-editor-vscode
2024-01-08 10:29:56.700 [error] No bundle location found for extension SAPSE.vscode-wing-ui5-run
2024-01-08 10:29:56.776 [error] No bundle location found for extension SAPSE.lcap-task-contrib
2024-01-08 10:29:56.776 [error] No bundle location found for extension SAP.vscode-bas-extensibility
2024-01-08 10:29:56.776 [error] No bundle location found for extension SAPOSS.guided-development
2024-01-08 10:29:56.776 [error] No bundle location found for extension SAP.vscode-wing-welcome-screen
2024-01-08 10:29:56.776 [error] No bundle location found for extension SAPSE.vscode-bas-fiori-tools
2024-01-08 10:29:56.776 [error] No bundle location found for extension vscode.git
2024-01-08 10:29:58.145 [error] No bundle location found for extension vscode.merge-conflict
2024-01-08 10:29:58.145 [error] No bundle location found for extension vscode.debug-auto-launch
2024-01-08 10:29:58.187 [error] No bundle location found for extension SAPSE.vscode-mta-tools
2024-01-08 10:29:58.197 [error] No bundle location found for extension SAP.adp-ve-bas-ext
2024-01-08 10:30:00.810 [error] No bundle location found for extension SAPSE.cicd-extension
2024-01-08 10:31:51.152 [error] No bundle location found for extension vscode.typescript-language-features
2024-01-08 10:35:03.008 [error] No bundle location found for extension donjayamanne.githistory
